
Title,Company,Location,Apply
b'Business System Analyst',b'TechPrinciple Consulting Inc',"b'Greater Toronto Area, Canada'",b'https://ca.linkedin.com/jobs/view/business-system-analyst-at-techprinciple-consulting-inc-3642158490?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=pzEBtuV5TkwPZNsCLTTD7Q%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Engineer',b'RideCo On-Demand Transit',"b'Waterloo, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-engineer-at-rideco-on-demand-transit-3647445123?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=cZES4yiKePvQY14ueHAbpg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business Intelligence Specialist',b'Irving Shipbuilding',"b'Halifax, Nova Scotia, Canada'",b'https://ca.linkedin.com/jobs/view/business-intelligence-specialist-at-irving-shipbuilding-3643129624?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=06MR6246h4P31hi2Xj21ng%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Data Advisor & Business Analyst',b'Dalhousie University',"b'Halifax, Nova Scotia, Canada'",b'https://ca.linkedin.com/jobs/view/senior-data-advisor-business-analyst-at-dalhousie-university-3635638680?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=pHrQn0KyC%2BiYANt460hdQg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Business Systems Analyst',b'Canfor',"b'Vancouver, British Columbia, Canada'",b'https://ca.linkedin.com/jobs/view/business-systems-analyst-at-canfor-3647568045?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=KwGHfxpi7Eej3104AL6XOg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Sr. Competitive Intelligence Analyst',b'D2L',"b'Kitchener, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/sr-competitive-intelligence-analyst-at-d2l-3645158898?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=xCo04gQ7Fwn0Kl3auoxoZQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst (Bangkok Based, Relocation Provided)'",b'Agoda',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-bangkok-based-relocation-provided-at-agoda-3644667671?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=4Uzmik%2BYMP0jrjtiQJN1aA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'GSOC Analyst',b'Crisis24',"b'Ottawa, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/gsoc-analyst-at-crisis24-3644961138?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=xr6IS%2FGCYWee%2FtFw60eoyA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst (Bangkok Based, Relocation Provided)'",b'Agoda',"b'Vancouver, British Columbia, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-bangkok-based-relocation-provided-at-agoda-3644669445?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=xr%2BojGvsLF6QQxQ96k8kPg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'SAS Macro Developer',b'Tata Consultancy Services',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/sas-macro-developer-at-tata-consultancy-services-3641594104?refId=a6%2BuELVT6GQk4K6uGlMocw%3D%3D&trackingId=OyYA9abzHOQO33b7V2gl8Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card'
